GROUP;DESCRIPTION;P/N;ALT P/N;MIN QTY;UNIT
Consumable Part;SCAL FLET;154-00300;N/A;;EA
Consumable Part;SCEET 4;SCEET 4;N/A;;EA
Consumable Part;SCOOP;0722202-1-791;N/A;;EA
Consumable Part;SCOTCH BRITE;6444;N/A;;EA
Consumable Part;SCRAP RING;S2418-1;N/A;;EA
Consumable Part;SCREW;AN525-10R8;N/A;;EA
Consumable Part;SCREW;MS24693S48;N/A;;EA
Consumable Part;SCREW;MS27039-1;N/A;;EA
Consumable Part;SCREW;MS35214-32;N/A;;EA
Consumable Part;SCREW;MS35206-228;N/A;;EA
Consumable Part;SCREW;MS24693S26;N/A;;EA
Consumable Part;SCREW;MS35206-215;N/A;;EA
Consumable Part;SCREW;MS35206-231;N/A;;EA
Consumable Part;SCREW;MS35214-31;N/A;;EA
Consumable Part;SCREW;MS35214-27;N/A;;EA
Consumable Part;SCREW;NAS514P1032;N/A;;EA
Consumable Part;SCREW;NAS1352-3-10;N/A;;EA
Consumable Part;SCREW;AN525-832R7;N/A;;EA
Consumable Part;SCREW;NAS514P1032-14;N/A;;EA
Consumable Part;SCREW;NAS388-10-7P;N/A;;EA
Consumable Part;SCREW;S1021A4-6E;N/A;;EA
Consumable Part;SCREW;S1021Z8-8;N/A;;EA
Consumable Part;SCREW;STD1925;N/A;;EA
Consumable Part;SCREW;MS27039-08-12;N/A;;EA
Consumable Part;SCREW;MS24693S30;N/A;;EA
Consumable Part;SCREW;MS35207-263;N/A;;EA
Consumable Part;SCREW;AN565B2H3;N/A;;EA
Consumable Part;SCREW;S1021A4-10E;N/A;;EA
Consumable Part;SCREW;AN525-10R12;N/A;;EA
Consumable Part;SCREW;MS27039-1-08;N/A;;EA
Consumable Part;SCREW;MS35206-245;N/A;;EA
Consumable Part;SCREW;STD1874;N/A;;EA
Consumable Part;SCREW;MS27039-0808;N/A;;EA
Consumable Part;SCREW;MS24693528;N/A;;EA
Consumable Part;SCREW;MS27039-0812;N/A;;EA
Consumable Part;SCREW;AN525-10R7;N/A;;EA
Consumable Part;SCREW;NAS 388-10-7E;N/A;;EA
Consumable Part;SCREW;MS35265-41;N/A;;EA
Consumable Part;SCREW;NAS388-10-78;N/A;;EA
Consumable Part;SCREW 2 3/8;089-05534-0036;N/A;;EA
Consumable Part;SCREW AY;0514027-21;N/A;;EA
Consumable Part;SCREW KIT;MC105;N/A;;EA
Consumable Part;SCREW KIT;SR6-SCREW-KIT;N/A;;EA
Consumable Part;SEAL;06A23493;N/A;;EA
Consumable Part;SEAL;LW13792;N/A;;EA
Consumable Part;SEAL;70310;N/A;;EA
Consumable Part;SEAL;0700322-4;N/A;;EA
Consumable Part;SEAL DOOR;36722-004;N/A;;EA
Consumable Part;SEAL GREASE;154-12400;N/A;;EA
Consumable Part;SEAL POLY PAK;A2748;N/A;;EA
Consumable Part;SEAL SHROUD TUBE;LW18661;N/A;;EA
Consumable Part;SEALANT;U554426;N/A;;FT
Consumable Part;SEALANT;PR-1422B 1/2;N/A;;EA
Consumable Part;SEAT BELTS;504516-401-8013;N/A;;EA
Consumable Part;SEAT BELTS;13-00401;N/A;;EA
Consumable Part;SEAT RAIL;0514209-1;N/A;;EA
Consumable Part;SEAT RAIL;0514209-3;N/A;;EA
Consumable Part;SEAT RAIL;MC241002-2;N/A;;EA
Consumable Part;SEAT RAIL;051479-1S;N/A;;EA
Consumable Part;SEAT RAIL;MC241002-1;N/A;;EA
Consumable Part;SEAT RAIL;00514209-4;N/A;;EA
Consumable Part;SEAT RAIL (BAR DESIGN);MC0511242-1;N/A;;EA
Consumable Part;SEAT RAIL WEAR GAUGE;SR1;N/A;;EA
Consumable Part;SEAT ROLLER, HOUSING GAUGE;TOOL110;N/A;;EA
Consumable Part;SEAT STOP;SK210-174B;N/A;;EA
Consumable Part;SEAT STOP;MC0713074-1;N/A;;EA
Consumable Part;SEAT STOP KIT;05-00581;N/A;;EA
Consumable Part;SEAT STOP KIT;05-00580;N/A;;EA
Consumable Part;SELF LOCKING NUT;MS21044N3;N/A;;EA
Consumable Part;SENDER;486-483;N/A;;EA
Consumable Part;SENDER ASSY;548-729;N/A;;EA
Consumable Part;SENSOR CURRENT;CS3200;N/A;;EA
Consumable Part;SHAF TACHOMETER;S2550-10;N/A;;EA
Consumable Part;SHAFT;1217050-5;N/A;;EA
Consumable Part;SHAFT AIR BOX;05-04431;N/A;;EA
Consumable Part;SHAFT AY,LH;1217050-6;N/A;;EA
Consumable Part;SHAFT TACH;S2550-15;N/A;;EA
Consumable Part;SHELD;0723201-2;N/A;;EA
Consumable Part;SHIELD;0723201-1;N/A;;EA
Consumable Part;SHIELD AY;0553028-1;N/A;;EA
Consumable Part;SHROUD CARB HEAT;0554006-1;N/A;;EA
Consumable Part;SHROUD MUFFLER;A9954100-3;N/A;;ASSY
Consumable Part;SILENCER;0710013-5;N/A;;EA
Consumable Part;SILICON BAFFLE;05-00810;N/A;;EA
Consumable Part;SIMMY DAMPENER;0442512-1;N/A;;EA
Consumable Part;SNAP RING;484-723;N/A;;EA
Consumable Part;SNAP RING;155-00200;N/A;;EA
Consumable Part;SNAP RING;155-11800;N/A;;EA
Consumable Part;SNAP RING;155-11900;N/A;;EA
Consumable Part;SNAP RING;155-04800;N/A;;EA
Consumable Part;SNAP RING;155-00100;N/A;;EA
Consumable Part;SOCKET;S1636-3;N/A;;EA
Consumable Part;SOCKET;S1636-1;N/A;;EA
Consumable Part;SPACER;0711021-12;N/A;;EA
Consumable Part;SPACER;523307;N/A;;EA
Consumable Part;SPACER;NAS43HT3-34;N/A;;EA
Consumable Part;SPACER;NAS43HT3-216;N/A;;EA
Consumable Part;SPACER;0543037-1;N/A;;EA
Consumable Part;SPACER;1220114-2;N/A;;EA
Consumable Part;SPACER;122011-4-1;N/A;;EA
Consumable Part;SPACER;1220114-1;N/A;;EA
Consumable Part;SPAR;0523206-2;N/A;;EA
Consumable Part;SPAR;0523206-3;N/A;;EA
Consumable Part;SPAR ASSY;0532001-98;N/A;;EA
Consumable Part;SPARK PLUG;RHB32;N/A;;EA
Consumable Part;SPARK PLUG;RHB32E;N/A;;EA
Consumable Part;SPARK PLUG;REM40E;N/A;;EA
Consumable Part;SPINNER;0550367-3;N/A;;EA
Consumable Part;SPOT FACE KIT;SPOT FACE KIT;N/A;;EA
Consumable Part;SPRING;082-00900;N/A;;EA
Consumable Part;SPRING;082-02100;N/A;;EA
Consumable Part;SPRING;1552010-1;N/A;;EA
Consumable Part;SPRING;0711021-9;N/A;;EA
Consumable Part;SPRING;713063;N/A;;EA
Consumable Part;SPRING;0710015-13;N/A;;EA
Consumable Part;SPRING;0310196-5 L/H;N/A;;EA
Consumable Part;SPRING (LH);0310196-5;N/A;;EA
Consumable Part;SPRING (RH);0310196-12;N/A;;EA
Consumable Part;SPRING PARKING BRAKE;0513154-1;N/A;;EA
Consumable Part;SPRING PIN;B-3842-0750;N/A;;EA
Consumable Part;STATIC DISCHARGE;ESD-3;N/A;;EA
Consumable Part;STATIC DISCHARGE (WICK);C592001-0201;N/A;;EA
Consumable Part;STOP SEAT;0713074-1;N/A;;EA
Consumable Part;STRIKER OIL DOOR TOP;1552004-25;N/A;;EA
Consumable Part;STRIP FELT;6881877;N/A;;FT
Consumable Part;STRIP FELT;G881879;N/A;;EA
Consumable Part;STROBE LIGHT;02-0250276-00;N/A;;EA
Consumable Part;STROBE LIGHT;01-0770044-00;N/A;;EA
Consumable Part;STROBE LIGHT;073-0270;N/A;;EA
Consumable Part;STROBE LIGHT;01-0770509-07;N/A;;EA
Consumable Part;STUD;S1115-32;N/A;;EA
Consumable Part;STUD;0550198-1;N/A;;EA
Consumable Part;STUD;S1115-35;N/A;;EA
Consumable Part;STUD;98293-3;N/A;;EA
Consumable Part;STUD;0742410-27;N/A;;EA
Consumable Part;SUMP;S1258-1;N/A;;EA
Consumable Part;SUPER HOOD;13-30200;N/A;;EA
Consumable Part;SUPPORT;0552181-1;N/A;;EA
Consumable Part;SUPPORT COLLAR;2460038-1;N/A;;EA
Consumable Part;SUPPORT/RING GEAR;76628;N/A;;EA
Consumable Part;SWITCH;TA201-TW-B;N/A;;EA
Consumable Part;SWITCH;C906-5;N/A;;EA
Consumable Part;SWITCH;S3010-1;N/A;;EA
Consumable Part;SWITCH;V7-1C17E9-201;N/A;;EA
Consumable Part;SWITCH;TT6C-TA201-TW-B;N/A;;EA
Consumable Part;SWITCH;S1994-1-1;N/A;;EA
Consumable Part;SWITCH;TTGC-TA201TW-B;N/A;;EA
Consumable Part;SWITCH;S3377-1-1;N/A;;EA
Consumable Part;SWITCH;TTGC-TA201-TW-B;N/A;;EA
Consumable Part;SWITCH OIL PREASSURE;83278;N/A;;EA
Consumable Part;SWITCH PTT;100702;N/A;;EA
Consumable Part;SWITCH PTT;S2870-1;N/A;;EA
Consumable Part;TAIL LIGHT POSITION;A2064;N/A;;EA
Consumable Part;TAPES;PM-T4H;N/A;;EA
Consumable Part;TAXY LIGHT;4553;N/A;;EA
Consumable Part;TEE;AN824-20;N/A;;EA
Consumable Part;TELEX MICROPHONE;62800-001;N/A;;EA
Consumable Part;TERMINAL;S1367-6-13;N/A;;EA
Consumable Part;TERMINAL;S1943-1;N/A;;EA
Consumable Part;TERMINAL;MS25036-106;N/A;;EA
Consumable Part;TERMINAL;W25203E-123;N/A;;EA
Consumable Part;TERMINAL;36152;N/A;;EA
Consumable Part;TERMINAL;31890;N/A;;EA
Consumable Part;TERMINAL;S1493-1;N/A;;EA
Consumable Part;TERMINAL;322897;N/A;;EA
Consumable Part;TERMINAL;31880;N/A;;EA
Consumable Part;TERMINAL;MS25036-153;N/A;;EA
Consumable Part;TERMINAL;S1943-3;N/A;;EA
Consumable Part;TERMINAL;S1943-2;N/A;;EA
Consumable Part;TESTER FUEL DRAIN;391S;N/A;;EA
Consumable Part;THINNER;C25/90S;N/A;;PAIL
Consumable Part;THROTLE CONTROL;6403;N/A;;EA
Consumable Part;TIARA;K0514127-2;N/A;;EA
Consumable Part;TIARA;K0514127-3;N/A;;EA
Consumable Part;TIARA CENTER;K0514127-1;N/A;;EA
Consumable Part;TIP;0531006-80-791;N/A;;EA
Consumable Part;TIP;S2742-1;N/A;;EA
Consumable Part;TIP ELEVATOR,LH;28-09-L;N/A;;EA
Consumable Part;TIP ELEVATOR,RH;28-09-R;N/A;;EA
Consumable Part;TIP HORIZONTAL STAB,LH/RH;SA-0532001-93;N/A;;EA
Consumable Part;TRANDUSER;P165-281;N/A;;EA
Consumable Part;TRANSMITER;C668050-1001;N/A;;EA
Consumable Part;TRANSMITER FUEL LH;C668050-0801;N/A;;EA
Consumable Part;TRANSMITER FUEL RH;C668050-0502;N/A;;EA
Consumable Part;TRANSMITER FUEL RH;C668050-1002;N/A;;EA
Consumable Part;TREAD LUBE;2612;N/A;;EA
Consumable Part;TRUNNION ASSY NOSE GEAR;67054-803;N/A;;EA
Consumable Part;TUBE;02-0350433-01M;N/A;;EA
Consumable Part;TUBE AND BEARING;498;N/A;;EA
Consumable Part;TUBE AY N.G;MC0543022-2C;N/A;;EA
Consumable Part;TUBE AY N.G;MC0543022-1C;N/A;;EA
Consumable Part;TUBE MAIN;302-246-401;N/A;;EA
Consumable Part;TUBE OIL LEVEL GAUGE;56C23075;N/A;;EA
Consumable Part;TUBE, SHROUD;15G23461;N/A;;EA
Consumable Part;TUBING;P610049;N/A;;EA
Consumable Part;U-JOINT;411257;N/A;;EA
Consumable Part;UNDERCUT COMPORT-GEL EAR SEALS;40863G-02;N/A;;PAIR
Consumable Part;UNIVERSAL JOINT;UJC-KT-1;N/A;;KIT
Consumable Part;VACUM MANIFOLD;1H5-23;N/A;;EA
Consumable Part;VACUMP FILTER;AAD9-18-1;N/A;;EA
Consumable Part;VACUMP FILTER;AA2J4-7;N/A;;EA
Consumable Part;VACUMP PUMP;212CW;N/A;;EA
Consumable Part;VACUMP PUMP;211CC;N/A;;EA
Consumable Part;VACUUMP PUMP;215CC;N/A;;EA
Consumable Part;VACUUMP PUMP;216CW;N/A;;EA
Consumable Part;VACUUMP REGULATOR;2H3-27;N/A;;EA
Consumable Part;VALVE;S2020-2;N/A;;EA
Consumable Part;VALVE;F391-72;N/A;;EA
Consumable Part;VALVE;492-303;N/A;;EA
Consumable Part;VALVE AIR HIGH PRESSURE;492-401;N/A;;EA
Consumable Part;VALVE ASSY;86875-002;N/A;;EA
Consumable Part;VALVE ASSY;0552169-6;N/A;;EA
Consumable Part;VALVE BP;S2359-1;N/A;;EA
Consumable Part;VALVE DRAIN;S1951-5;N/A;;EA
Consumable Part;VALVE FUEL;9851067-4S;N/A;;EA
Consumable Part;VALVE PARKING;492-152;N/A;;EA
Consumable Part;VALVE SELENOID;1480-00-1;N/A;;EA
Consumable Part;VALVE STRUT;S1827-1;N/A;;EA
Consumable Part;VENT;492-203;N/A;;EA
Consumable Part;VOLTAGE REGULATOR;ELECTROLITE;N/A;;EA
Consumable Part;VOLTAGE REGULATOR;R25400;N/A;;EA
Consumable Part;VOLTAGE REGULATOR;VR515GA;N/A;;EA
Consumable Part;VOLTAGE REGULATOR;VR515 GA;N/A;;EA
Consumable Part;VOLTAGE REGULATOR;550-393;N/A;;EA
Consumable Part;VOLTAGE REGULATOR;DGR3;N/A;;EA
Consumable Part;VOLTAGE REGULATOR;UNREAD;N/A;;EA
Consumable Part;VOLUME CONTROL;09349P-34;N/A;;EA
Consumable Part;VOLUME KNOB;15109P01;N/A;;EA
Consumable Part;VOR ANTENNA DIPLEXER;C1-507;N/A;;EA
Consumable Part;WASHER;MS35333-40;N/A;;EA
Consumable Part;WASHER;NAS1149D0332K;N/A;;EA
Consumable Part;WASHER;NAS1149F0463P;N/A;;EA
Consumable Part;WASHER;NAS1149F0763P;N/A;;EA
Consumable Part;WASHER;153-30015;N/A;;EA
Consumable Part;WASHER;NAS1149F0532P;N/A;;EA
Consumable Part;WASHER;NAS11499C0463R;AN960C416;;EA
Consumable Part;WASHER;A-1638-11;N/A;;EA
Consumable Part;WASHER;NAS1149F0332P;N/A;;EA
Consumable Part;WASHER;NAS697A4;MS21069L4;;EA
Consumable Part;WASHER;AN901-5A;N/A;;EA
Consumable Part;WASHER;NAS1149F0863P;N/A;;EA
Consumable Part;WASHER;NAS1149F0363P;N/A;;EA
Consumable Part;WASHER;MS21071L06;N/A;;EA
Consumable Part;WASHER;MS2171L09;N/A;;EA
Consumable Part;WASHER;S1450-5-12-035;N/A;;EA
Consumable Part;WASHER;1795;N/A;;EA
Consumable Part;WASHER;S1450-7N32-125;N/A;;EA
Consumable Part;WASHER;S1450-5H12-050;N/A;;EA
Consumable Part;WASHER;S1450-23H16-095;N/A;;EA
Consumable Part;WASHER;MS35333-38;N/A;;EA
Consumable Part;WASHER;S1450-6-14-080;N/A;;EA
Consumable Part;WASHER;85012-101;N/A;;EA
Consumable Part;WASHER;S1450-3S10-032;N/A;;EA
Consumable Part;WASHER;NAS1149F0663P;N/A;;EA
Consumable Part;WASHER;NAS1149F0732P;N/A;;EA
Consumable Part;WASHER;STD475;N/A;;EA
Consumable Part;WASHER;NAS1149F0432P;N/A;;EA
Consumable Part;WASHER;62833-045;N/A;;EA
Consumable Part;WASHER FLAT;NAS1149F0563P;N/A;;EA
Consumable Part;WD 40;WD40;N/A;;EA
Consumable Part;WELD ASSY SPROCKET;62789-002;N/A;;EA
Consumable Part;WELD AY;0523552-2;N/A;;EA
Consumable Part;WHEEL ASSEMBLY;40-77B;N/A;;EA
Consumable Part;WHEEL ASSY;40-120C;N/A;;EA
Consumable Part;WHEEL HUB;40-90A;N/A;;EA
Consumable Part;WHELL ASSY;40-77C;N/A;;EA
Consumable Part;WHELLEN LED LANDING LIGHT 14V(S/C);01-0771833-10;N/A;;EA
Consumable Part;WHELLEN LED LANDING LIGHT 28V(S/C);01-0771833-20;N/A;;EA
Consumable Part;WHELLEN LED TAXI LIGHT 14V(S/C);01-0771833-25;N/A;;EA
Consumable Part;WHELLEN LED TAXI LIGHT 14V(S/C);01-0771833-15;N/A;;EA
Consumable Part;WHIP ANTENA ELT;C589511-0109;N/A;;EA
Consumable Part;WINDOW ASSY GREEN;0512180-7;N/A;;EA
Consumable Part;WINDOW ASSY GREEN;0512030-203;N/A;;EA
Consumable Part;WINDSHIELD;LP-337GT;N/A;;EA
Consumable Part;WIRE;C486554;N/A;;EA
Consumable Part;WIRE;18TGIT14-100FT;N/A;;EA
Consumable Part;WIRE;M27500-18MHIT08550;N/A;;EA
Consumable Part;WIRE;MS22759-44-18-9;MS22759-44-18-9;;EA
Consumable Part;WIRE;RG400;N/A;;EA
Consumable Part;WIRE;MS22759-44-14-9;MS22759-44-14-9;;EA
Repairable Part;A/H;23-501-06-16;N/A;;EA
Repairable Part;A/H;102-0080-05;N/A;;EA
Repairable Part;A/H INDICATOR;102-007-03;N/A;;EA
Repairable Part;ACTUATOR;C301002-6113;N/A;;EA
Repairable Part;ADF;066-1072-04;N/A;;EA
Repairable Part;ADF;066-1072-14;N/A;;EA
Repairable Part;ADF;066-1072-00;N/A;;EA
Repairable Part;ADF ANTENA KA-44B;071-1234-00;N/A;;EA
Repairable Part;ADF IND IN-346A;40980-1001;N/A;;EA
Repairable Part;ADF IND KI-227;066-3063-00;N/A;;EA
Repairable Part;ADF INDICATOR;066-3017-00;N/A;;EA
Repairable Part;ADF KR-87;006-1072-14;N/A;;EA
Repairable Part;ADF300;41240-0001;N/A;;EA
Repairable Part;AH;102-0041-04;N/A;;EA
Repairable Part;AIRSPEED IND;S-1470-49;N/A;;EA
Repairable Part;AIRSPEED IND;C661065-0107RX;N/A;;EA
Repairable Part;AIRSPEED IND;C661065-0107;N/A;;EA
Repairable Part;AIRSPEED IND;336-00004;N/A;;EA
Repairable Part;AIRSPEED INDICATOR;548-498;N/A;;EA
Repairable Part;ALTERNATOR;9910591-11ACR;N/A;;EA
Repairable Part;ALTERNATOR;ALX-8521LS;N/A;;EA
Repairable Part;ALTERNATOR;ALX-8521R;N/A;;EA
Repairable Part;ALTERNATOR;DOFF10300BR;N/A;;EA
Repairable Part;ALTERNATOR;9910591-7;N/A;;EA
Repairable Part;ALTERNATOR;9910591-11RX;N/A;;EA
Repairable Part;ALTERNATOR;ASG10001-17RX;N/A;;EA
Repairable Part;ALTIMETER;LA-71-11;N/A;;EA
Repairable Part;ALTIMETER;C661071-0101;N/A;;EA
Repairable Part;ALTIMETER;5934PM-3;N/A;;EA
Repairable Part;ALTIMETER;5934PAM-1;N/A;;EA
Repairable Part;ANTENA ADF KR86;066-1038-00;N/A;;EA
Repairable Part;ANTENNA;C157;N/A;;EA
Repairable Part;ANTENNA COM WHIP;C1-121;N/A;;EA
Repairable Part;ANTENNA L-BAND;CI 105;N/A;;EA
Repairable Part;ANTENNA LOOP ADF;41000-1000;N/A;;EA
Repairable Part;ASI;EA-5174-14-CES;N/A;;EA
Repairable Part;ATC TRANSPONDER KT73;066-01164-0101;N/A;;EA
Repairable Part;AUDIO CONROL PANEL;066-1055-03;N/A;;EA
Repairable Part;AUDIO CONTROL PANEL;2470015-1 REV.A;N/A;;EA
Repairable Part;AUDIO PANEL;5704341;N/A;;EA
Repairable Part;AUDIO PANEL;2470015-1 REV1;N/A;;EA
Repairable Part;AUDIO PANEL KMA-26;066-01155-0201;N/A;;EA
Repairable Part;BLANK CARD;10024995;N/A;;EA
Repairable Part;BRAKE MASTER CYLINDER;9882010-7;N/A;;EA
Repairable Part;CARBURATOR;Oct-17;MA-4SPA;;EA
Repairable Part;CARBURATOR;AV105256-1;N/A;;EA
Repairable Part;CARBURATOR;10-5256-1;N/A;;EA
Repairable Part;CESSNA BAFFLE SET;C172P-BRK 343150;N/A;;KIT
Repairable Part;CESSNA BAFFLE SET;C172P-BRK343150;N/A;;EA
Repairable Part;CHT INDICATOR;46127;N/A;;EA
Repairable Part;CLUSTER FUEL;C669537-0101;N/A;;EA
Repairable Part;COMPASS;2300;N/A;;EA
Repairable Part;COMPASS;C660501-0102;N/A;;EA
Repairable Part;CONTROL HF;2102;N/A;;EA
Repairable Part;CONVERTER;622-2093-001;N/A;;EA
Repairable Part;CONVERTER IND 385A;46860-100;N/A;;EA
Repairable Part;CONVERTER KN-72;066-4009-00;N/A;;EA
Repairable Part;COVER AY;0552233-3;N/A;;EA
Repairable Part;DAMPENER;SE1051-2;N/A;;EA
Repairable Part;DGI;RCA11A-15;N/A;;EA
Repairable Part;DGI;IU262-005-20;N/A;;EA
Repairable Part;DGI;C661075-0101;N/A;;EA
Repairable Part;DGI;066-1075-0106;N/A;;EA
Repairable Part;DGI;31100C;N/A;;EA
Repairable Part;DGI;RCA11D-7;N/A;;EA
Repairable Part;DGI;C661075-0106;N/A;;EA
Repairable Part;DIRECTIONAL GYRO INDICATOR;1U262-001-13;N/A;;EA
Repairable Part;DME;066-068-04;N/A;;EA
Repairable Part;DME;066-1064-00;N/A;;EA
Repairable Part;DME KN-62A;006-1068-01;N/A;;EA
Repairable Part;DME KN 62 A;066-1068--01;N/A;;EA
Repairable Part;DME KN62A;066-1088-00;N/A;;EA
Repairable Part;DME KN62A;066-10888-00;N/A;;EA
Repairable Part;DME KN62A;066-1068-00;N/A;;EA
Repairable Part;EGT IND;46188-3;N/A;;EA
Repairable Part;EGT IND;46150;N/A;;EA
Repairable Part;EGT IND;C668501-0211;45812;;EA
Repairable Part;ELT ME 406;453-06669;N/A;;EA
Repairable Part;ELT ME406;453-6603;N/A;;EA
Repairable Part;ENGINE MOUNTING;0551023-25;N/A;;EA
Repairable Part;FIREX;ABC POWDER;N/A;;EA
Repairable Part;FIREX;FE-10P;N/A;;EA
Repairable Part;FIREX;FE-10H;N/A;;EA
Repairable Part;FIREX 6 KG;AF31;N/A;;EA
Repairable Part;FUEL PRESS;6246-00331;N/A;;EA
Repairable Part;FUEL PUMP;18000-A;N/A;;EA
Repairable Part;FUEL PUMP 12V;1800-A;N/A;;EA
Repairable Part;FUEL TANK;0526007-205;N/A;;EA
Repairable Part;GLIDE SLOPE KN75;066-1063-00;N/A;;EA
Repairable Part;GNS430;011-00280-10\;N/A;;EA
Repairable Part;GNS430;011-00280-10;N/A;;EA
Repairable Part;GOVERNOOR;E-8-5L;N/A;;EA
Repairable Part;GPS 12XL;12XL;N/A;;EA
Repairable Part;GPS AIRMAP2000C;2000C;N/A;;EA
Repairable Part;GPS196;196;N/A;;EA
Repairable Part;GPS296;296;N/A;;EA
Repairable Part;GYRO HORIZON;504-0006-914;N/A;;EA
Repairable Part;GYRO HORIZON;C661076-0101;N/A;;EA
Repairable Part;GYRO HORIZON;RCA22-7;N/A;;EA
Repairable Part;GYRO HORIZON;S3326-1;N/A;;EA
Repairable Part;GYRO HORIZON;5000B-20;N/A;;EA
Repairable Part;GYRO HORIZON;23-501-03;N/A;;EA
Repairable Part;GYRO HORIZON;36100S;N/A;;EA
Repairable Part;GYRO HORIZON;RCA22-11;N/A;;EA
Repairable Part;HAWK EYE;HAWK EYE;N/A;;EA
Repairable Part;HF;99681;N/A;;EA
Repairable Part;HF;99391;N/A;;EA
Repairable Part;HF200;2201;N/A;;EA
Repairable Part;HSIKI-525D;066-3046-07;N/A;;EA
Repairable Part;HT;IC-A24;N/A;;EA
Repairable Part;HYDRAULIC PUM;636294;108AMC19SP-AL-1VT;;EA
Repairable Part;HYDROULIC POWER PACK;HYC5005OVH;N/A;;EA
Repairable Part;IND PRESS MANIFOLD;548-591;N/A;;EA
Repairable Part;INTER COM;SPA 400;N/A;;EA
Repairable Part;INTERCOM;SPA-400;N/A;;EA
Repairable Part;KN62A DME;066-1068-01;N/A;;EA
Repairable Part;LOG BOOK PROPELLER;1C160/DTM 7557 M1;N/A;;EA
Repairable Part;LOOP L-346Q;41000;N/A;;EA
Repairable Part;MARKER BEACONE RECEIVER;424410-512828;N/A;;EA
Repairable Part;MASTER CYLINDER;30-Oct;N/A;;EA
Repairable Part;MASTER CYLINDER;455-985;N/A;;EA
Repairable Part;MOTOR AUTO PILOT;429649900;N/A;;EA
Repairable Part;MOTOR FLAP;C301002-0103;N/A;;EA
Repairable Part;MOTOR FLAP;C301002-0104;N/A;;EA
Repairable Part;MOUNT;86212-002;N/A;;EA
Repairable Part;MUFFELER;K1754001-23;N/A;;EA
Repairable Part;MUFFELER;0554011-1;N/A;;EA
Repairable Part;MUFFELER;K1754-21;N/A;;EA
Repairable Part;MUFFLER;9954100-10;N/A;;EA
Repairable Part;NAV COM KX155A;069-0132-0101;N/A;;EA
Repairable Part;NAV/COM;MX385;N/A;;EA
Repairable Part;NAV/COMM KX-155;069-1024-43;N/A;;EA
Repairable Part;NAV/COMM KX155;069-1024-04;N/A;;EA
Repairable Part;NAV/COMM KX155A;069-01032-0201;N/A;;EA
Repairable Part;NAV/COMM KX155A;069-01032-0101;N/A;;EA
Repairable Part;NAV/COMM KX165A;069-01033-0201;N/A;;EA
Repairable Part;NAV/COMM RT385A;46660-1000;N/A;;EA
Repairable Part;NEW TEMPEST TORNADO 3000;10-00609;N/A;;EA
Repairable Part;OIL COOLER;10641R;N/A;;EA
Repairable Part;OIL TEMP AND OIL PRESS IND;C669535-0101;N/A;;EA
Repairable Part;OIL TEMP SENDER;3080-37;N/A;;EA
Repairable Part;PANEL KMA 24;066-1055-02;N/A;;EA
Repairable Part;PIPE EXCHAUST;LW16393;N/A;;EA
Repairable Part;PROPELLER;1C160/DTM7557M1;N/A;;ASSY
Repairable Part;PUMP HYDROLIC;38992-807;N/A;;EA
Repairable Part;RECEIVER R443B;42100-0000;N/A;;EA
Repairable Part;SAMMY DAMPER;0448572-1;N/A;;EA
Repairable Part;SLAVING ACCESSORIES KA-51B;071-1242-01;N/A;;EA
Repairable Part;STARTER;MZ-42222R;N/A;;EA
Repairable Part;STARTER;PM2401H;N/A;;EA
Repairable Part;STARTER;PM2401R;N/A;;EA
Repairable Part;STARTER;149-LN;N/A;;EA
Repairable Part;STARTER;149-NLR;N/A;;EA
Repairable Part;STARTER;149-NL;N/A;;EA
Repairable Part;STARTER;MZ-4222R;N/A;;EA
Repairable Part;STRUT ASSEMBLY;0543062-206;N/A;;EA
Repairable Part;TACHOMETER;SL1010-001-1-1;N/A;;EA
Repairable Part;TACHOMETER IND;D1-112-5025;N/A;;EA
Repairable Part;TACHOMETTER;78035-0181;N/A;;EA
Repairable Part;TERRAIN DATA BASE;010-10201-21;N/A;;EA
Repairable Part;TRANSPONDER;066-01156-0101;N/A;;EA
Repairable Part;TRANSPONDER AT165;36090309;N/A;;EA
Repairable Part;TRANSPONDER GTX 320;011-00259-10;N/A;;EA
Repairable Part;TRANSPONDER KT76A;066-1062-00;N/A;;EA
Repairable Part;TURBO CHARGER;465398-9002;N/A;;EA
Repairable Part;TURN AND  BANK;1394T100-73;N/A;;EA
Repairable Part;TURN AND BANK;1394T100-7Z;N/A;;EA
Repairable Part;TURN AND BANK;13494T100-7Z;N/A;;EA
Repairable Part;TURN AND BANK;1394T100-7B;N/A;;EA
Repairable Part;TURN AND BANK;1394T100-1(7RZ);N/A;;EA
Repairable Part;TURN COORDINATOR;1394T100-10RZ;N/A;;EA
Repairable Part;VAC/AMP IND;S3280-1RX;N/A;;EA
Repairable Part;VAC/AMP IND;S3280-1;N/A;;EA
Repairable Part;VACUUM PUMP;AAC3215CC;N/A;;EA
Repairable Part;VACUUMP PUMP;AA3215CC;N/A;;EA
Repairable Part;VERTICAL SPEED IND;S3327-1RX;N/A;;EA
Repairable Part;VHF NAV/COM KX155A;069-1032-0101;N/A;;EA
Repairable Part;VHF NAV/COM RT-385A;46660-1100;N/A;;EA
Repairable Part;VHR AIR BOND + CHARGER;K-A24;N/A;;EA
Repairable Part;VOLTAGE REGULATOR;R25-400;N/A;;EA
Repairable Part;VOR;46860-2200;N/A;;EA
